Score,Steps,Bombs_placed,Invalid_moves,Epsilon
1,104,10,0,0.01
2,131,8,7,0.01
5,392,2,1,0.01
5,253,8,8,0.01
11,226,7,7,0.01
6,77,4,4,0.01
7,102,7,7,0.01
9,132,13,6,0.01
3,62,6,4,0.01
1,57,2,4,0.01
1,44,5,1,0.01
3,392,9,4,0.01
2,147,7,3,0.01
1,242,3,6,0.01
2,108,6,0,0.01
3,187,7,8,0.01
1,167,10,10,0.01
3,274,5,5,0.01
1,384,3,3,0.01
1,59,5,3,0.01
2,394,8,15,0.01
1,48,4,4,0.01
1,123,3,1,0.01
2,187,4,4,0.01
0,99,2,1,0.01
2,391,8,8,0.01
4,318,9,6,0.01
10,311,13,7,0.01
2,118,8,4,0.01
1,39,5,5,0.01
6,131,4,5,0.01
3,400,8,5,0.01
0,54,7,11,0.01
3,84,8,7,0.01
0,25,3,4,0.01
0,39,4,4,0.01
7,288,10,14,0.01
1,98,6,5,0.01
0,70,7,3,0.01
5,97,9,4,0.01
1,24,3,3,0.01
7,155,10,9,0.01
1,64,8,9,0.01
3,101,11,10,0.01
0,23,3,2,0.01
3,94,9,5,0.01
2,43,5,8,0.01
0,44,5,5,0.01
1,72,10,17,0.01
1,120,11,5,0.01
0,42,5,2,0.01
0,24,3,3,0.01
0,8,1,0,0.01
1,49,4,3,0.01
8,184,8,10,0.01
3,73,7,5,0.01
0,76,8,12,0.01
0,8,1,1,0.01
2,104,5,0,0.01
0,161,8,5,0.01
1,57,6,7,0.01
1,87,6,3,0.01
1,85,8,5,0.01
0,40,3,4,0.01
0,21,3,3,0.01
0,35,3,4,0.01
1,31,4,5,0.01
1,51,5,5,0.01
4,164,7,5,0.01
0,13,2,1,0.01
2,147,10,13,0.01
9,162,12,11,0.01
1,110,8,5,0.01
0,91,7,7,0.01
0,7,1,0,0.01
0,13,2,0,0.01
3,144,7,10,0.01
0,44,6,6,0.01
4,238,13,14,0.01
3,120,12,9,0.01
0,27,3,5,0.01
1,30,3,2,0.01
0,49,5,7,0.01
3,55,3,0,0.01
0,29,2,1,0.01
0,63,8,13,0.01
4,109,11,10,0.01
0,27,4,1,0.01
0,61,6,11,0.01
0,5,1,3,0.01
2,70,8,7,0.01
1,53,6,4,0.01
1,216,8,9,0.01
2,52,4,3,0.01
1,49,6,11,0.01
10,209,8,10,0.01
0,65,7,3,0.01
0,15,2,0,0.01
1,33,3,1,0.01
5,86,9,8,0.01
0,44,6,6,0.01
3,66,7,7,0.01
1,138,8,5,0.01
4,176,8,7,0.01
0,44,3,5,0.01
1,34,4,5,0.01
2,74,8,4,0.01
1,292,9,5,0.01
0,31,2,0,0.01
2,61,7,8,0.01
0,37,5,6,0.01
3,74,7,3,0.01
4,72,7,7,0.01
0,37,5,1,0.01
2,52,6,4,0.01
0,28,3,3,0.01
10,246,7,10,0.01
2,79,4,3,0.01
0,31,3,3,0.01
5,180,11,9,0.01
0,70,8,6,0.01
4,139,9,7,0.01
3,134,6,4,0.01
0,14,2,0,0.01
1,52,6,11,0.01
2,82,6,4,0.01
7,69,7,13,0.01
1,45,5,7,0.01
3,73,6,2,0.01
2,164,10,9,0.01
2,128,9,5,0.01
0,28,3,3,0.01
0,24,3,5,0.01
1,26,3,1,0.01
3,88,7,7,0.01
3,56,5,5,0.01
1,25,3,6,0.01
2,64,7,11,0.01
0,39,4,5,0.01
3,94,8,2,0.01
1,45,6,6,0.01
3,101,8,2,0.01
1,74,10,18,0.01
1,50,3,2,0.01
4,105,11,9,0.01
0,31,4,2,0.01
2,86,10,14,0.01
7,172,14,17,0.01
1,70,7,11,0.01
0,5,1,4,0.01
1,63,8,11,0.01
0,20,3,7,0.01
1,53,7,11,0.01
0,99,8,7,0.01
0,21,3,5,0.01
2,40,4,6,0.01
2,59,6,11,0.01
5,167,7,12,0.01
3,93,8,6,0.01
7,202,16,9,0.01
0,77,9,8,0.01
3,103,9,10,0.01
0,9,1,2,0.01
1,32,4,0,0.01
1,68,5,1,0.01
2,105,9,11,0.01
1,24,2,3,0.01
0,39,4,2,0.01
0,44,6,7,0.01
0,52,6,9,0.01
6,120,8,2,0.01
3,122,11,13,0.01
3,85,5,3,0.01
0,43,6,7,0.01
2,97,8,9,0.01
0,47,6,8,0.01
7,102,12,17,0.01
3,80,10,6,0.01
3,119,10,3,0.01
2,124,10,8,0.01
1,71,7,6,0.01
0,20,3,7,0.01
6,168,11,3,0.01
1,157,18,21,0.01
0,27,4,7,0.01
1,66,8,5,0.01
0,54,7,7,0.01
0,64,8,17,0.01
0,13,2,5,0.01
3,65,8,9,0.01
0,34,5,5,0.01
4,75,6,6,0.01
3,83,8,8,0.01
1,32,4,4,0.01
1,99,10,9,0.01
4,151,11,8,0.01
2,129,11,11,0.01
2,96,10,10,0.01
2,49,4,1,0.01
1,37,4,1,0.01
9,220,17,18,0.01
0,18,2,1,0.01
1,53,7,5,0.01
0,48,3,3,0.01
3,146,15,22,0.01
2,102,14,12,0.01
0,150,10,6,0.01
1,60,6,5,0.01
1,39,4,4,0.01
2,91,10,8,0.01
1,56,7,10,0.01
2,49,6,7,0.01
2,99,10,12,0.01
0,57,5,0,0.01
0,33,3,5,0.01
2,109,7,10,0.01
0,7,1,2,0.01
0,5,1,3,0.01
1,137,9,5,0.01
0,9,1,0,0.01
7,135,11,13,0.01
2,34,3,1,0.01
0,25,1,3,0.01
0,15,2,3,0.01
3,85,6,7,0.01
8,276,13,12,0.01
2,100,5,7,0.01
2,56,7,5,0.01
0,56,3,4,0.01
5,231,10,9,0.01
1,152,1,0,0.01
0,46,4,4,0.01
1,20,2,4,0.01
0,7,1,3,0.01
2,71,5,6,0.01
2,228,3,5,0.01
0,109,12,13,0.01
5,120,9,7,0.01
2,108,3,5,0.01
1,117,1,6,0.01
2,139,8,11,0.01
2,81,10,7,0.01
4,139,11,8,0.01
0,7,1,3,0.01
1,27,3,0,0.01
2,56,6,5,0.01
3,54,6,5,0.01
1,97,8,6,0.01
1,38,4,2,0.01
4,92,11,8,0.01
4,189,13,12,0.01
3,175,13,8,0.01
4,250,11,8,0.01
0,21,3,4,0.01
0,27,3,3,0.01
1,93,11,14,0.01
3,74,6,4,0.01
4,122,9,7,0.01
1,77,8,9,0.01
1,54,5,7,0.01
1,85,6,1,0.01
1,70,5,5,0.01
1,83,7,4,0.01
0,99,8,6,0.01
2,52,5,7,0.01
3,67,6,6,0.01
0,22,3,4,0.01
0,87,9,9,0.01
0,5,1,3,0.01
1,15,2,2,0.01
3,192,11,12,0.01
0,119,5,4,0.01
3,147,8,3,0.01
0,68,7,13,0.01
6,240,15,15,0.01
1,62,6,5,0.01
1,39,5,3,0.01
2,95,6,5,0.01
3,110,10,13,0.01
4,71,5,5,0.01
0,41,6,5,0.01
3,108,10,6,0.01
1,97,8,3,0.01
2,178,9,8,0.01
3,103,9,11,0.01
1,23,3,5,0.01
0,58,1,5,0.01
0,22,3,1,0.01
0,7,1,3,0.01
2,76,7,4,0.01
2,39,5,8,0.01
7,116,11,14,0.01
2,217,11,7,0.01
2,121,13,4,0.01
3,133,8,6,0.01
2,82,8,4,0.01
4,91,8,5,0.01
1,31,3,4,0.01
1,32,4,4,0.01
0,30,4,2,0.01
3,212,12,12,0.01
3,234,16,13,0.01
3,141,8,2,0.01
0,24,3,3,0.01
1,154,8,5,0.01
6,245,6,6,0.01
1,112,9,9,0.01
2,71,8,7,0.01
2,177,9,7,0.01
0,74,3,5,0.01
1,113,8,11,0.01
2,49,6,5,0.01
2,147,8,9,0.01
2,61,5,2,0.01
0,29,3,1,0.01
0,31,4,2,0.01
0,35,3,4,0.01
0,55,3,4,0.01
1,18,2,3,0.01
0,16,1,1,0.01
11,147,7,4,0.01
0,51,1,3,0.01
3,95,10,1,0.01
3,132,12,6,0.01
1,38,5,9,0.01
4,144,13,14,0.01
2,71,8,4,0.01
3,99,8,9,0.01
1,60,7,4,0.01
2,103,7,5,0.01
0,74,1,4,0.01
3,137,8,2,0.01
2,32,4,3,0.01
0,119,0,0,0.01
1,219,6,7,0.01
5,299,10,6,0.01
1,102,6,2,0.01
0,31,1,2,0.01
1,77,4,2,0.01
8,373,7,5,0.01
3,142,9,3,0.01
1,137,7,5,0.01
2,57,6,4,0.01
2,365,3,1,0.01
10,212,7,9,0.01
0,55,3,2,0.01
0,66,3,1,0.01
2,280,5,4,0.01
1,265,6,3,0.01
0,44,3,2,0.01
3,314,10,2,0.01
1,290,3,6,0.01
1,58,7,6,0.01
6,267,11,7,0.01
0,67,4,4,0.01
3,189,10,7,0.01
4,316,16,3,0.01
3,349,8,7,0.01
2,53,5,0,0.01
1,72,7,4,0.01
0,118,7,4,0.01
10,180,13,4,0.01
2,330,9,2,0.01
2,40,4,3,0.01
0,65,5,6,0.01
0,69,6,2,0.01
1,118,10,6,0.01
0,43,6,4,0.01
0,26,3,3,0.01
0,44,5,3,0.01
0,49,6,5,0.01
4,101,7,2,0.01
0,62,3,1,0.01
0,39,5,1,0.01
0,28,3,2,0.01
1,169,10,3,0.01
1,25,3,1,0.01
1,66,8,4,0.01
1,64,3,3,0.01
2,77,5,4,0.01
0,33,4,2,0.01
0,40,4,3,0.01
0,8,1,3,0.01
3,337,10,10,0.01
4,201,10,7,0.01
3,148,4,2,0.01
2,179,7,4,0.01
4,374,8,3,0.01
5,206,11,4,0.01
4,393,10,3,0.01
2,121,7,0,0.01
0,72,5,2,0.01
0,109,1,2,0.01
3,94,6,5,0.01
5,224,11,6,0.01
3,283,7,3,0.01
1,52,2,2,0.01
3,274,9,5,0.01
6,200,11,6,0.01
0,25,3,2,0.01
4,104,6,4,0.01
10,180,14,7,0.01
1,372,11,7,0.01
5,277,11,9,0.01
0,60,4,1,0.01
2,171,10,1,0.01
0,48,3,6,0.01
4,212,10,4,0.01
0,34,3,1,0.01
3,260,13,8,0.01
1,84,6,5,0.01
