Score,Steps,Bombs_placed,Invalid_moves,Epsilon
8,152,2,0,0.02
17,263,1,4,0.02
22,312,1,4,0.02
26,247,1,1,0.02
28,400,2,3,0.02
7,400,0,2,0.02
20,400,0,2,0.02
23,400,2,1,0.02
19,400,0,1,0.02
26,400,0,0,0.02
20,198,1,1,0.02
13,245,1,3,0.01
22,400,1,0,0.01
22,400,2,4,0.01
19,400,1,4,0.01
15,334,2,3,0.01
25,400,0,1,0.01
18,400,1,1,0.01
24,338,2,4,0.5
7,26,2,5,0.46
13,52,2,7,0.4
0,6,1,1,0.4
2,5,1,0,0.39
7,39,1,3,0.37
3,14,2,1,0.36
1,7,1,1,0.36
4,35,2,7,0.33
1,8,1,1,0.32
12,122,6,11,0.27
6,21,2,2,0.26
1,8,1,0,0.26
19,164,5,14,0.21
4,18,1,2,0.21
26,319,8,14,0.15
7,35,2,4,0.14
14,224,4,7,0.12
4,12,1,0,0.12
32,400,2,7,0.09
8,41,2,1,0.09
32,335,4,6,0.08
17,205,5,5,0.07
32,400,2,2,0.06
6,36,1,2,0.06
4,12,1,2,0.06
32,400,4,6,0.05
10,64,3,2,0.05
28,400,3,6,0.05
30,324,3,5,0.04
24,400,0,1,0.04
29,400,2,5,0.04
25,174,1,1,0.03
6,58,1,2,0.03
26,400,3,2,0.03
29,400,2,1,0.03
20,159,1,1,0.03
27,400,4,0,0.03
22,400,1,0,0.03
22,400,1,1,0.03
21,114,2,1,0.03
2,9,1,0,0.02
25,400,1,0,0.02
34,400,0,1,0.02
21,184,1,3,0.02
23,400,0,1,0.02
32,400,0,1,0.02
10,62,1,2,0.02
27,400,1,1,0.02
24,349,2,1,0.02
29,400,1,1,0.02
28,400,0,2,0.02
20,400,0,0,0.02
16,111,1,0,0.02
17,57,1,0,0.02
12,107,1,2,0.02
22,400,0,2,0.02
23,162,1,4,0.02
28,400,0,1,0.02
35,400,1,0,0.02
26,400,0,2,0.02
30,361,1,3,0.02
22,168,1,1,0.01
31,400,0,3,0.01
14,65,1,3,0.01
47,400,0,1,0.01
42,400,1,0,0.01
42,400,0,2,0.01
48,400,1,0,0.01
40,383,1,1,0.01
44,400,0,1,0.01
22,156,1,3,0.01
39,267,3,1,0.01
19,400,0,0,0.01
41,400,0,0,0.01
29,144,1,1,0.01
46,400,2,1,0.01
41,400,0,3,0.01
49,302,0,0,0.01
48,400,1,0,0.01
33,265,2,1,0.01
49,400,1,0,0.01
48,400,1,1,0.01
49,303,1,0,0.01
49,326,0,2,0.01
49,309,0,0,0.01
49,234,0,0,0.01
49,234,0,0,0.01
49,230,1,0,0.01
49,236,2,0,0.01
49,274,0,0,0.01
50,312,1,0,0.01
49,296,0,0,0.01
49,302,0,0,0.01
