Score,Steps,Bombs_placed,Invalid_moves,Epsilon
1,31,4,3,0.01
1,39,5,5,0.01
2,95,10,12,0.01
0,20,3,2,0.01
0,78,8,15,0.01
13,400,37,16,0.01
3,134,13,9,0.01
1,35,4,3,0.01
4,124,7,4,0.01
4,235,12,7,0.01
3,110,6,10,0.01
0,16,2,4,0.01
3,113,8,10,0.01
7,253,14,10,0.01
2,87,6,8,0.01
2,317,21,15,0.01
1,59,5,2,0.01
0,6,1,1,0.01
0,55,7,6,0.01
1,182,13,6,0.01
3,85,9,11,0.01
5,110,8,10,0.01
2,87,8,11,0.01
2,65,7,11,0.01
2,46,6,8,0.01
4,167,17,14,0.01
3,166,16,13,0.01
1,63,6,9,0.01
3,76,7,9,0.01
2,147,12,5,0.01
2,53,4,3,0.01
2,73,9,6,0.01
1,116,11,11,0.01
2,58,7,3,0.01
7,99,11,8,0.01
3,84,8,11,0.01
2,152,9,7,0.01
6,133,10,8,0.01
3,321,32,13,0.01
1,216,14,5,0.01
7,217,15,12,0.01
3,71,7,7,0.01
6,261,22,14,0.01
3,116,12,8,0.01
4,190,15,7,0.01
0,30,4,7,0.01
5,246,21,10,0.01
2,258,19,8,0.01
1,151,14,9,0.01
0,193,15,7,0.01
2,400,40,24,0.01
1,105,9,5,0.01
10,137,13,15,0.01
0,61,6,10,0.01
3,46,5,3,0.01
2,155,11,9,0.01
1,38,5,11,0.01
2,50,6,6,0.01
2,208,13,8,0.01
3,115,10,8,0.01
0,103,11,4,0.01
5,400,40,19,0.01
2,400,37,29,0.01
0,28,4,7,0.01
5,400,39,18,0.01
6,65,8,5,0.01
2,69,8,5,0.01
6,214,17,8,0.01
4,111,9,6,0.01
2,71,7,6,0.01
3,384,38,29,0.01
3,115,11,6,0.01
4,202,14,12,0.01
2,232,17,15,0.01
7,284,18,11,0.01
4,76,7,4,0.01
2,87,8,4,0.01
3,216,16,14,0.01
1,38,4,8,0.01
1,238,18,16,0.01
2,400,32,18,0.01
3,375,32,17,0.01
1,400,30,16,0.01
6,400,39,27,0.01
6,400,37,19,0.01
0,45,5,6,0.01
2,186,13,4,0.01
3,84,9,5,0.01
1,98,6,9,0.01
0,14,2,1,0.01
2,94,7,9,0.01
2,83,9,9,0.01
0,44,5,5,0.01
1,240,20,13,0.01
