0,41,3,4,0.01
2,82,8,6,0.01
0,71,7,7,0.01
4,100,7,2,0.01
5,360,15,12,0.01
0,175,7,4,0.01
5,152,10,6,0.01
6,275,21,10,0.01
1,93,7,8,0.01
2,124,7,5,0.01
4,400,15,5,0.01
7,400,32,13,0.01
7,400,32,15,0.5
2,47,3,12,0.45
0,15,2,2,0.43
2,71,6,17,0.37
1,39,4,11,0.36
0,7,1,2,0.35
0,5,1,1,0.34
1,35,3,9,0.32
0,9,1,3,0.32
0,18,2,5,0.31
0,16,2,4,0.3
0,47,4,10,0.29
2,89,10,15,0.26
0,48,6,19,0.25
0,66,8,10,0.23
0,35,4,1,0.23
0,28,3,8,0.22
4,137,15,20,0.19
0,12,1,3,0.19
0,28,1,5,0.19
0,16,2,5,0.18
0,27,1,3,0.18
0,11,1,3,0.17
0,84,2,12,0.16
1,62,5,7,0.15
0,56,1,6,0.15
0,84,1,6,0.14
0,7,1,3,0.14
4,400,18,22,0.11
2,100,8,10,0.11
0,49,1,5,0.1
6,400,20,30,0.08
0,18,1,4,0.08
0,11,1,3,0.08
2,171,10,14,0.07
3,140,9,10,0.07
0,31,1,4,0.07
0,69,3,11,0.07
4,400,17,20,0.06
7,400,31,18,0.05
0,82,2,8,0.05
3,25,2,3,0.05
1,66,6,3,0.05
6,187,17,6,0.05
4,110,9,4,0.05
5,400,14,16,0.05
0,175,4,3,0.04
2,227,18,20,0.04
6,400,18,14,0.04
6,400,22,15,0.04
2,118,13,11,0.04
2,144,9,4,0.03
3,186,16,3,0.03
3,126,11,7,0.03
6,400,23,16,0.03
3,55,6,7,0.03
2,84,9,6,0.03
2,175,19,8,0.03
1,18,2,1,0.03
5,400,17,13,0.03
2,71,6,4,0.03
5,383,18,17,0.03
2,140,15,9,0.03
0,113,1,4,0.03
4,400,14,6,0.03
0,44,5,7,0.03
0,27,1,3,0.02
0,100,6,6,0.02
1,63,5,4,0.02
1,45,5,5,0.02
6,339,23,17,0.02
2,149,8,6,0.02
3,95,9,2,0.02
0,76,1,4,0.02
2,82,4,3,0.02
1,125,9,5,0.02
0,211,1,5,0.02
0,31,4,1,0.02
1,33,3,0,0.02
0,51,3,12,0.02
5,400,22,16,0.02
2,105,7,8,0.02
0,27,1,0,0.02
3,133,12,5,0.02
0,36,5,1,0.02
9,400,29,19,0.02
6,383,18,17,0.02
6,400,29,12,0.02
3,400,20,16,0.02
5,400,26,24,0.02
6,400,31,24,0.02
3,316,21,17,0.02
2,126,8,5,0.02
2,328,23,16,0.01
3,364,9,11,0.01
7,400,13,12,0.01
7,400,22,20,0.01
4,400,19,16,0.01
5,400,15,13,0.01
4,247,14,7,0.01
4,209,16,7,0.5
0,69,3,13,0.44
0,84,3,12,0.36
0,25,2,5,0.35
0,11,1,5,0.34
2,112,9,20,0.29
0,7,1,0,0.29
0,15,2,3,0.28
1,93,10,15,0.24
0,41,4,6,0.23
1,63,4,13,0.21
0,9,1,4,0.2
4,213,17,28,0.16
0,7,1,3,0.16
0,50,6,11,0.15
0,24,3,4,0.15
0,23,3,4,0.14
2,145,14,13,0.13
1,33,4,4,0.13
0,8,1,4,0.13
2,136,10,14,0.11
6,240,23,20,0.1
1,140,15,8,0.09
0,32,3,7,0.09
2,322,20,20,0.08
1,32,4,4,0.08
5,134,13,7,0.08
0,91,8,6,0.07
2,121,10,4,0.07
3,90,9,8,0.07
5,295,17,22,0.06
2,106,10,8,0.06
2,75,8,7,0.06
6,283,19,5,0.05
5,244,15,13,0.05
0,14,1,3,0.05
