Score,Steps,Bombs_placed,Invalid_moves,Epsilon
3,298,9,7,0.01
0,25,3,7,0.01
5,300,16,15,0.01
3,155,8,11,0.01
2,400,12,9,0.01
1,95,3,4,0.01
6,71,5,2,0.01
0,150,5,5,0.01
1,43,5,10,0.01
1,25,3,2,0.01
1,246,6,10,0.01
6,400,11,8,0.01
4,260,7,8,0.01
8,252,8,8,0.01
1,82,4,6,0.01
4,273,12,11,0.01
8,318,13,20,0.01
2,239,8,14,0.01
4,72,3,1,0.01
1,162,5,8,0.01
2,271,8,15,0.01
0,43,2,6,0.01
9,345,10,12,0.01
4,289,7,16,0.01
6,168,5,8,0.01
3,334,19,25,0.01
1,265,8,10,0.01
4,231,6,4,0.01
0,46,4,3,0.01
0,117,2,6,0.01
0,5,1,3,0.01
3,191,13,6,0.01
0,20,3,4,0.01
0,86,6,7,0.01
0,29,4,8,0.01
6,158,7,6,0.01
3,377,17,6,0.01
1,66,5,7,0.01
1,75,4,8,0.01
1,154,9,6,0.01
1,25,3,4,0.01
2,98,8,6,0.01
3,101,8,5,0.01
3,193,9,7,0.01
0,243,5,7,0.01
0,20,3,7,0.01
1,69,5,5,0.01
3,167,10,16,0.01
6,205,9,9,0.01
2,117,7,16,0.01
1,280,10,11,0.01
1,139,5,2,0.01
0,127,9,11,0.01
3,175,4,7,0.01
4,220,10,6,0.01
0,12,1,2,0.01
3,288,6,2,0.01
0,14,2,3,0.01
8,111,7,11,0.01
1,87,6,7,0.01
2,140,6,5,0.01
2,136,6,6,0.01
0,102,4,2,0.01
3,305,13,15,0.01
0,11,1,3,0.01
0,20,3,6,0.01
1,184,6,4,0.01
0,37,3,5,0.01
2,58,4,2,0.01
0,53,1,0,0.01
2,284,10,9,0.01
6,157,7,9,0.01
1,27,3,0,0.01
4,222,6,7,0.01
0,13,1,3,0.01
0,41,1,3,0.01
0,120,3,5,0.01
0,84,1,5,0.01
2,135,1,3,0.01
0,102,1,1,0.01
3,209,1,3,0.01
1,306,7,3,0.01
1,176,4,4,0.01
3,340,8,4,0.01
0,80,1,1,0.01
6,210,10,2,0.01
0,400,3,1,0.01
0,130,2,4,0.01
1,163,6,1,0.01
1,350,3,18,0.01
0,162,2,3,0.01
0,153,3,4,0.01
2,143,4,6,0.01
0,123,4,6,0.01
4,54,4,2,0.01
2,117,3,2,0.01
0,45,3,5,0.01
1,47,5,4,0.01
0,29,1,3,0.01
1,18,2,0,0.01
0,206,8,7,0.01
1,62,6,3,0.01
4,400,29,36,0.01
1,128,5,2,0.01
0,19,1,2,0.01
2,316,17,11,0.01
3,91,3,6,0.01
5,400,35,48,0.01
0,13,2,4,0.01
1,141,7,8,0.01
3,158,5,7,0.01
1,74,6,8,0.01
6,400,37,51,0.01
1,233,11,9,0.01
4,170,4,3,0.01
0,20,3,5,0.01
7,333,10,5,0.01
0,21,3,4,0.01
5,223,12,5,0.01
0,171,5,3,0.01
0,44,4,6,0.01
4,102,5,7,0.01
0,55,3,0,0.01
0,22,3,6,0.01
1,70,2,4,0.01
2,77,7,4,0.01
0,231,1,2,0.01
2,105,4,3,0.01
2,260,8,8,0.01
1,331,6,12,0.01
3,46,4,7,0.01
1,108,6,6,0.01
0,67,3,4,0.01
4,51,5,2,0.01
0,86,4,4,0.01
0,149,6,7,0.01
5,389,29,17,0.01
1,219,5,4,0.01
4,293,9,4,0.01
9,169,7,6,0.01
4,293,4,6,0.01
2,34,4,1,0.01
1,400,25,32,0.01
0,61,1,2,0.01
3,133,7,5,0.01
2,154,5,11,0.01
2,62,3,1,0.01
0,142,4,7,0.01
1,400,4,3,0.01
0,276,7,11,0.01
1,115,5,5,0.01
3,128,10,8,0.01
3,305,19,17,0.01
4,193,8,8,0.01
2,83,6,7,0.01
0,36,5,5,0.01
1,400,9,8,0.01
5,302,10,9,0.01
2,75,6,1,0.01
0,238,7,9,0.01
1,400,7,6,0.01
2,189,16,9,0.01
3,252,10,9,0.01
0,134,2,4,0.01
2,151,6,8,0.01
3,400,15,6,0.01
1,215,11,8,0.01
1,54,5,3,0.01
1,30,3,3,0.01
0,22,3,5,0.01
1,81,6,4,0.01
2,236,12,12,0.01
1,40,3,3,0.01
1,106,4,8,0.01
2,121,3,12,0.01
2,48,4,0,0.01
2,111,3,1,0.01
2,98,5,4,0.01
1,131,3,7,0.01
0,87,1,1,0.01
8,199,6,4,0.01
1,236,6,6,0.01
5,278,2,3,0.01
1,329,11,3,0.01
3,343,9,1,0.01
1,255,5,5,0.01
1,301,10,5,0.01
1,260,5,7,0.01
4,400,5,18,0.01
0,370,10,2,0.01
2,129,4,4,0.01
0,6,1,1,0.01
0,22,3,3,0.01
3,145,6,9,0.01
3,400,15,10,0.01
2,243,10,7,0.01
4,400,32,35,0.01
1,251,7,7,0.01
3,166,2,1,0.01
3,88,5,11,0.01
2,103,7,10,0.01
1,400,5,5,0.01
2,95,6,9,0.01
0,173,8,14,0.01
0,331,6,5,0.01
0,15,1,3,0.01
1,142,4,6,0.01
0,90,1,4,0.01
1,400,19,11,0.01
1,60,6,12,0.01
12,318,11,6,0.01
0,282,7,4,0.01
1,400,12,4,0.01
3,95,3,7,0.01
1,87,3,7,0.01
1,202,5,7,0.01
0,100,2,12,0.01
0,76,3,4,0.01
2,70,3,5,0.01
0,104,2,7,0.01
5,99,6,9,0.01
0,37,3,0,0.01
4,255,14,9,0.01
3,151,9,7,0.01
1,40,4,4,0.01
3,127,6,5,0.01
0,85,4,7,0.01
2,114,5,10,0.01
3,320,21,17,0.01
1,67,4,1,0.01
2,400,9,6,0.01
1,43,4,3,0.01
0,339,9,13,0.01
2,123,6,7,0.01
5,275,15,10,0.01
2,128,5,5,0.01
3,294,6,8,0.01
3,80,5,7,0.01
3,363,13,10,0.01
1,19,2,2,0.01
1,64,2,6,0.01
0,17,1,3,0.01
3,221,10,7,0.01
4,315,7,12,0.01
2,162,3,3,0.01
1,65,2,7,0.01
2,322,10,1,0.01
0,13,1,3,0.01
0,400,24,9,0.01
1,400,7,10,0.01
0,161,6,7,0.01
1,400,5,2,0.01
3,226,7,3,0.01
4,96,4,6,0.01
3,267,10,9,0.01
1,54,4,0,0.01
2,151,4,9,0.01
1,400,24,7,0.01
8,303,7,11,0.01
2,160,5,5,0.01
4,212,9,7,0.01
1,92,4,6,0.01
1,375,16,20,0.01
0,400,20,11,0.01
1,323,10,8,0.01
4,155,4,5,0.01
2,282,9,6,0.01
2,98,5,8,0.01
3,349,18,19,0.01
1,271,3,8,0.01
2,400,11,9,0.01
3,102,4,6,0.01
1,310,10,9,0.01
0,57,0,0,0.01
0,32,4,4,0.01
2,84,6,6,0.01
1,165,6,13,0.01
7,350,16,20,0.01
1,257,10,19,0.01
7,339,11,8,0.01
2,99,4,6,0.01
4,361,7,5,0.01
1,300,7,11,0.01
0,76,4,7,0.01
4,192,5,8,0.01
0,36,3,5,0.01
0,62,4,2,0.01
0,34,3,7,0.01
0,282,7,7,0.01
2,400,8,10,0.01
1,18,2,0,0.01
1,90,1,2,0.01
2,400,7,11,0.01
2,390,12,14,0.01
2,127,5,5,0.01
7,170,4,9,0.01
2,400,4,3,0.01
1,247,5,4,0.01
0,147,5,10,0.01
5,229,5,4,0.01
3,237,7,8,0.01
2,271,9,5,0.01
12,314,8,11,0.01
0,268,6,10,0.01
3,400,12,6,0.01
3,329,22,13,0.01
3,378,16,18,0.01
3,400,14,13,0.01
2,111,3,2,0.01
2,313,9,1,0.01
8,400,17,11,0.01
2,253,7,11,0.01
1,105,5,4,0.01
2,80,6,10,0.01
0,20,3,7,0.01
0,77,1,3,0.01
1,205,7,4,0.01
1,49,5,2,0.01
2,279,10,13,0.01
1,141,3,1,0.01
3,137,10,7,0.01
1,78,5,6,0.01
0,81,3,8,0.01
4,137,5,8,0.01
3,264,5,11,0.01
1,350,9,12,0.01
0,94,1,1,0.01
2,400,13,0,0.01
3,137,2,7,0.01
4,157,3,7,0.01
0,126,2,7,0.01
7,254,12,4,0.01
4,293,7,4,0.01
2,188,7,12,0.01
0,39,5,2,0.01
0,53,0,0,0.01
0,86,1,1,0.01
0,36,4,4,0.01
1,109,3,4,0.01
0,78,2,4,0.01
0,116,0,3,0.01
3,92,5,7,0.01
1,230,10,5,0.01
2,300,11,5,0.01
1,278,3,13,0.01
3,121,8,2,0.01
3,333,11,19,0.01
1,399,11,8,0.01
2,188,11,10,0.01
3,336,9,38,0.01
2,170,5,3,0.01
0,49,4,5,0.01
2,319,11,5,0.01
2,274,6,3,0.01
1,158,5,10,0.01
2,298,11,7,0.01
4,368,21,8,0.01
0,106,3,7,0.01
0,89,4,4,0.01
6,400,12,9,0.01
1,400,3,4,0.01
3,212,7,6,0.01
2,282,12,6,0.01
0,304,8,8,0.01
1,26,2,1,0.01
0,127,2,7,0.01
0,94,1,1,0.01
3,400,17,17,0.01
1,30,4,6,0.01
0,15,2,1,0.01
1,52,5,7,0.01
3,130,9,3,0.01
4,66,5,5,0.01
2,180,10,10,0.01
4,400,35,30,0.01
4,280,24,14,0.01
4,181,10,9,0.01
2,70,6,4,0.01
1,339,9,8,0.01
3,316,6,0,0.01
6,400,12,17,0.01
1,88,4,6,0.01
0,350,12,13,0.01
0,79,2,3,0.01
6,145,4,6,0.01
1,155,6,1,0.01
4,400,12,8,0.01
4,149,7,4,0.01
2,400,13,11,0.01
13,186,7,7,0.01
1,142,3,9,0.01
2,110,4,4,0.01
1,97,7,2,0.01
1,139,2,5,0.01
1,365,14,10,0.01
8,139,7,4,0.01
1,160,6,10,0.01
5,301,9,20,0.01
0,27,4,5,0.01
6,383,5,7,0.01
0,13,1,3,0.01
0,52,3,1,0.01
2,215,7,2,0.01
2,194,5,8,0.01
3,394,14,4,0.01
4,400,10,6,0.01
4,275,11,5,0.01
0,148,3,1,0.01
0,58,0,0,0.01
0,148,5,8,0.01
1,204,5,11,0.01
2,216,6,9,0.01
2,64,3,3,0.01
0,198,9,11,0.01
3,167,4,8,0.01
4,79,6,9,0.01
3,79,3,1,0.01
5,160,6,8,0.01
2,221,10,7,0.01
2,400,9,9,0.01
0,36,5,9,0.01
0,35,4,5,0.01
3,189,8,10,0.01
3,207,11,5,0.01
3,127,7,8,0.01
2,108,7,7,0.01
0,20,3,3,0.01
5,80,6,6,0.01
1,24,3,3,0.01
2,400,10,15,0.01
0,34,5,9,0.01
1,196,6,13,0.01
0,29,4,3,0.01
5,319,14,8,0.01
4,103,5,10,0.01
4,93,5,6,0.01
3,272,10,6,0.01
1,76,5,6,0.01
0,37,4,5,0.01
3,134,3,5,0.01
3,303,14,7,0.01
7,98,5,6,0.01
4,169,6,11,0.01
5,400,5,11,0.01
3,400,34,30,0.01
0,36,5,7,0.01
0,118,7,10,0.01
4,72,4,10,0.01
3,161,9,10,0.01
4,400,17,4,0.01
2,343,9,7,0.01
0,34,5,7,0.01
1,89,7,8,0.01
1,113,10,10,0.01
0,27,4,5,0.01
1,54,4,9,0.01
1,74,3,7,0.01
1,128,4,8,0.01
2,138,6,10,0.01
2,118,7,7,0.01
5,115,6,7,0.01
0,218,9,9,0.01
2,116,7,12,0.01
0,147,4,5,0.01
3,265,14,11,0.01
1,143,4,1,0.01
1,21,2,3,0.01
1,311,9,14,0.01
0,108,7,7,0.01
2,154,9,9,0.01
0,67,1,3,0.01
0,14,2,2,0.01
7,400,16,8,0.01
0,20,3,3,0.01
0,80,1,1,0.01
0,129,2,4,0.01
0,315,1,4,0.01
3,400,16,10,0.01
0,84,2,2,0.01
3,62,7,1,0.01
2,199,5,4,0.01
1,110,6,6,0.01
2,100,5,5,0.01
2,377,16,13,0.01
6,336,20,11,0.01
0,34,4,0,0.01
4,171,10,1,0.01
7,245,17,14,0.01
0,78,2,6,0.01
2,130,1,3,0.01
1,400,2,6,0.01
2,400,8,7,0.01
1,400,31,10,0.01
5,356,13,5,0.01
1,110,1,1,0.01
1,51,2,5,0.01
2,71,4,3,0.01
0,94,1,1,0.01
2,168,8,10,0.01
7,202,4,5,0.01
1,400,9,8,0.01
2,89,4,5,0.01
8,273,11,11,0.01
2,258,5,5,0.01
1,230,7,9,0.01
1,43,4,3,0.01
1,400,13,4,0.01
3,256,14,13,0.01
0,24,3,5,0.01
2,89,4,6,0.01
2,206,3,5,0.01
1,44,4,0,0.01
1,400,5,6,0.01
0,43,1,2,0.01
0,109,1,2,0.01
0,44,6,2,0.01
2,400,17,2,0.01
0,14,2,0,0.01
2,231,2,1,0.01
0,172,1,0,0.01
1,43,4,6,0.01
2,197,4,13,0.01
0,93,1,2,0.01
0,47,1,3,0.01
0,400,20,4,0.01
0,76,1,7,0.01
0,66,1,5,0.01
0,400,6,5,0.01
2,96,6,4,0.01
